Name,Season,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
Juan Soto,2025,26,NYM,NL,6.2,160,715,577,120,152,20,1,43,105,38,4,127,137,.263,.396,.525,.921,160,.410,163,303,17,3,1,6,13,*9/D,MVP-3SS
Francisco Lindor,2025,31,NYM,NL,5.9,160,732,644,117,172,35,0,31,86,31,6,65,131,.267,.346,.466,.811,129,.359,129,300,9,16,0,7,2,*6/DH,ASMVP-10
Pete Alonso,2025,30,NYM,NL,3.4,162,709,624,87,170,41,1,38,126,1,2,61,162,.272,.347,.524,.871,144,.371,142,327,23,15,0,9,5,*3/D,ASMVP-11SS
Francisco Alvarez,2025,23,NYM,NL,1.9,76,277,246,32,63,12,1,11,32,0,0,27,73,.256,.339,.447,.787,122,.350,126,110,6,4,0,0,0,2/HD,
Brett Baty,2025,25,NYM,NL,3.1,130,432,393,53,100,13,2,18,50,8,0,33,108,.254,.313,.435,.748,111,.336,113,171,6,2,0,3,0,54H/D,
Brandon Nimmo,2025,32,NYM,NL,2.9,155,652,587,81,154,27,0,25,92,13,1,50,141,.262,.324,.436,.760,114,.335,113,256,8,7,1,7,1,*7/8DH,
Tyrone Taylor,2025,31,NYM,NL,1.0,113,341,310,34,69,18,3,2,27,12,2,16,76,.223,.279,.319,.598,70,.276,70,99,4,9,3,2,1,*8H/79,
Starling Marte,2025,36,NYM,NL,1.0,98,329,293,37,79,14,0,9,34,7,2,22,68,.270,.335,.410,.745,111,.331,112,120,7,9,1,4,0,DH/79,
Mark Vientos,2025,25,NYM,NL,-0.2,121,463,424,44,99,21,2,17,61,1,0,30,115,.233,.289,.413,.702,97,.310,98,175,11,5,0,4,0,5D/H3,
Luisangel Acuña,2025,23,NYM,NL,0.6,95,193,175,30,41,7,0,0,8,16,1,13,37,.234,.293,.274,.567,63,.273,59,48,6,2,2,1,0,4H/658,
Trent Grisham,2025,28,NYY,AL,3.5,143,581,494,87,116,9,1,34,74,3,2,82,137,.235,.348,.464,.811,125,.363,135,229,7,4,0,1,0,*8/H,
Aaron Judge,2025,33,NYY,AL,9.7,152,679,541,137,179,30,2,53,114,12,5,124,160,.331,.457,.688,1.144,215,.461,212,372,16,7,0,7,36,9D/H,ASMVP-1SS
Anthony Volpe,2025,24,NYY,AL,1.6,153,596,539,65,114,32,4,19,72,18,8,43,150,.212,.272,.391,.663,83,.287,80,211,10,4,3,7,0,*6/H,
Cody Bellinger,2025,29,NYY,AL,5.1,152,656,588,89,160,25,5,29,98,13,2,57,90,.272,.334,.480,.813,125,.349,123,282,8,2,0,9,1,*798/3H,MVP-14
Ben Rice,2025,26,NYY,AL,2.3,138,530,467,74,119,28,4,26,65,3,2,50,100,.255,.337,.499,.836,131,.355,130,233,18,9,0,2,0,3D2H,
Jazz Chisholm Jr.,2025,27,NYY,AL,4.2,130,531,462,75,112,15,1,31,80,31,8,58,148,.242,.332,.481,.813,125,.357,127,222,3,6,1,4,1,45/H,ASSS
Austin Wells,2025,25,NYY,AL,0.1,126,448,401,51,88,22,1,21,71,5,1,30,118,.219,.275,.436,.712,95,.305,92,175,10,5,0,11,0,*2/HD,
Paul Goldschmidt,2025,37,NYY,AL,1.2,146,534,489,76,134,31,1,10,45,5,1,36,100,.274,.328,.403,.731,104,.321,104,197,8,4,0,2,5,*3H/D8,
Ryan McMahon,2025,30,NYY,2LG,2.3,154,586,509,62,109,23,1,20,53,3,1,70,189,.214,.312,.381,.693,87,.305,83,194,7,4,0,3,1,*5/HD,
Giancarlo Stanton,2025,35,NYY,AL,1.9,77,281,249,36,68,8,0,24,66,0,0,29,96,.273,.350,.594,.944,158,.398,162,148,5,1,0,1,3,D9H/7,
